w_-3,w_-2,w_-1,w_0,w_1,w_2,w_3,cap_-3,cap_-2,cap_-1,cap_0,cap_1,cap_2,cap_3,label
'',he,said,.,<PAD>,<PAD>,<PAD>,MIXED,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,even,if,the,congress,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,TITLE,RB
<PAD>,<PAD>,even,if,the,congress,-lrb-,<PAD>,<PAD>,TITLE,LOWER,LOWER,TITLE,UPPER,IN
<PAD>,even,if,the,congress,-lrb-,i,<PAD>,TITLE,LOWER,LOWER,TITLE,UPPER,UPPER,DT
even,if,the,congress,-lrb-,i,-rrb-,TITLE,LOWER,LOWER,TITLE,UPPER,UPPER,UPPER,NNP
if,the,congress,-lrb-,i,-rrb-,retains,LOWER,LOWER,TITLE,UPPER,UPPER,UPPER,LOWER,(
the,congress,-lrb-,i,-rrb-,retains,control,LOWER,TITLE,UPPER,UPPER,UPPER,LOWER,LOWER,PRP
congress,-lrb-,i,-rrb-,retains,control,of,TITLE,UPPER,UPPER,UPPER,LOWER,LOWER,LOWER,)
-lrb-,i,-rrb-,retains,control,of,the,UPPER,UPPER,UPPER,LOWER,LOWER,LOWER,LOWER,VBZ
i,-rrb-,retains,control,of,the,government,UPPER,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
-rrb-,retains,control,of,the,government,",",UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
retains,control,of,the,government,",",mr.,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,TITLE,DT
control,of,the,government,",",mr.,gandhi,LOWER,LOWER,LOWER,LOWER,PUNCT,TITLE,TITLE,NN
of,the,government,",",mr.,gandhi,'s,LOWER,LOWER,LOWER,PUNCT,TITLE,TITLE,LOWER,","
the,government,",",mr.,gandhi,'s,ability,LOWER,LOWER,PUNCT,TITLE,TITLE,LOWER,LOWER,NNP
government,",",mr.,gandhi,'s,ability,to,LOWER,PUNCT,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
",",mr.,gandhi,'s,ability,to,push,PUNCT,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,POS
mr.,gandhi,'s,ability,to,push,through,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NN
gandhi,'s,ability,to,push,through,major,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
's,ability,to,push,through,major,initiatives,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
ability,to,push,through,major,initiatives,might,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
to,push,through,major,initiatives,might,be,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
push,through,major,initiatives,might,be,hobbled,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
through,major,initiatives,might,be,hobbled,by,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MD
major,initiatives,might,be,hobbled,by,a,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
initiatives,might,be,hobbled,by,a,thinner,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
might,be,hobbled,by,a,thinner,majority,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
be,hobbled,by,a,thinner,majority,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DT
hobbled,by,a,thinner,majority,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJR
by,a,thinner,majority,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
a,thinner,majority,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,british,government,bonds,surged,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,JJ
<PAD>,<PAD>,british,government,bonds,surged,on,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NN
<PAD>,british,government,bonds,surged,on,renewed,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
british,government,bonds,surged,on,renewed,volatility,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
government,bonds,surged,on,renewed,volatility,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
bonds,surged,on,renewed,volatility,in,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
surged,on,renewed,volatility,in,the,stock,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
on,renewed,volatility,in,the,stock,market,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
renewed,volatility,in,the,stock,market,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DT
volatility,in,the,stock,market,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,NN
in,the,stock,market,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
the,stock,market,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,arbitragers,were,n't,the,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,NNS
<PAD>,<PAD>,arbitragers,were,n't,the,only,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,VBD
<PAD>,arbitragers,were,n't,the,only,big,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,RB
arbitragers,were,n't,the,only,big,losers,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
were,n't,the,only,big,losers,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
n't,the,only,big,losers,in,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
the,only,big,losers,in,the,collapse,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
only,big,losers,in,the,collapse,of,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
big,losers,in,the,collapse,of,ual,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,UPPER,DT
losers,in,the,collapse,of,ual,corp.,LOWER,LOWER,LOWER,LOWER,LOWER,UPPER,TITLE,NN
in,the,collapse,of,ual,corp.,stock,LOWER,LOWER,LOWER,LOWER,UPPER,TITLE,LOWER,IN
the,collapse,of,ual,corp.,stock,.,LOWER,LOWER,LOWER,UPPER,TITLE,LOWER,PUNCT,NNP
collapse,of,ual,corp.,stock,.,<PAD>,LOWER,LOWER,UPPER,TITLE,LOWER,PUNCT,<PAD>,NNP
of,ual,corp.,stock,.,<PAD>,<PAD>,LOWER,UPPER,TITLE,LOWER,PUNCT,<PAD>,<PAD>,NN
ual,corp.,stock,.,<PAD>,<PAD>,<PAD>,UPPER,TITLE,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,the,three,most,important,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,the,three,most,important,things,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,CD
<PAD>,the,three,most,important,things,to,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,RBS
the,three,most,important,things,to,understand,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
three,most,important,things,to,understand,about,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
most,important,things,to,understand,about,mr.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,TO
important,things,to,understand,about,mr.,allen,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,VB
things,to,understand,about,mr.,allen,is,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,LOWER,IN
to,understand,about,mr.,allen,is,that,LOWER,LOWER,LOWER,TITLE,TITLE,LOWER,LOWER,NNP
understand,about,mr.,allen,is,that,he,LOWER,LOWER,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
about,mr.,allen,is,that,he,is,LOWER,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,VBZ
mr.,allen,is,that,he,is,a,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,IN
allen,is,that,he,is,a,black,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
is,that,he,is,a,black,conservative,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
that,he,is,a,black,conservative,intellectual,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
he,is,a,black,conservative,intellectual,--,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MIXED,JJ
is,a,black,conservative,intellectual,--,a,LOWER,LOWER,LOWER,LOWER,LOWER,MIXED,LOWER,JJ
a,black,conservative,intellectual,--,a,triple,LOWER,LOWER,LOWER,LOWER,MIXED,LOWER,LOWER,JJ
black,conservative,intellectual,--,a,triple,threat,LOWER,LOWER,LOWER,MIXED,LOWER,LOWER,LOWER,:
conservative,intellectual,--,a,triple,threat,to,LOWER,LOWER,MIXED,LOWER,LOWER,LOWER,LOWER,DT
intellectual,--,a,triple,threat,to,the,LOWER,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
--,a,triple,threat,to,the,liberal,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
a,triple,threat,to,the,liberal,establishment,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
triple,threat,to,the,liberal,establishment,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DT
threat,to,the,liberal,establishment,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJ
to,the,liberal,establishment,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
the,liberal,establishment,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,other,analysts,say,the,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,JJ
<PAD>,<PAD>,other,analysts,say,the,indian,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,TITLE,NNS
<PAD>,other,analysts,say,the,indian,leader,<PAD>,TITLE,LOWER,LOWER,LOWER,TITLE,LOWER,VBP
other,analysts,say,the,indian,leader,could,TITLE,LOWER,LOWER,LOWER,TITLE,LOWER,LOWER,DT
analysts,say,the,indian,leader,could,retain,LOWER,LOWER,LOWER,TITLE,LOWER,LOWER,LOWER,NNP
say,the,indian,leader,could,retain,control,LOWER,LOWER,TITLE,LOWER,LOWER,LOWER,LOWER,NN
the,indian,leader,could,retain,control,with,LOWER,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,MD
indian,leader,could,retain,control,with,a,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
leader,could,retain,control,with,a,slim,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
could,retain,control,with,a,slim,majority,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
retain,control,with,a,slim,majority,or,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
control,with,a,slim,majority,or,be,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
with,a,slim,majority,or,be,forced,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
a,slim,majority,or,be,forced,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
slim,majority,or,be,forced,to,rule,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
majority,or,be,forced,to,rule,as,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
or,be,forced,to,rule,as,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
be,forced,to,rule,as,the,dominant,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
forced,to,rule,as,the,dominant,partner,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
to,rule,as,the,dominant,partner,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
rule,as,the,dominant,partner,in,a,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
as,the,dominant,partner,in,a,coalition,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
the,dominant,partner,in,a,coalition,with,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
dominant,partner,in,a,coalition,with,other,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
partner,in,a,coalition,with,other,parties,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
in,a,coalition,with,other,parties,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
a,coalition,with,other,parties,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJ
coalition,with,other,parties,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
with,other,parties,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,the,bank,'s,total,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,the,bank,'s,total,allowance,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NN
<PAD>,the,bank,'s,total,allowance,for,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,POS
the,bank,'s,total,allowance,for,credit,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
bank,'s,total,allowance,for,credit,losses,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
's,total,allowance,for,credit,losses,was,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
total,allowance,for,credit,losses,was,$,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,NN
allowance,for,credit,losses,was,$,502.1,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,NNS
for,credit,losses,was,$,502.1,million,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,VBD
credit,losses,was,$,502.1,million,",",LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,PUNCT,$
losses,was,$,502.1,million,",",or,LOWER,LOWER,PUNCT,MIXED,LOWER,PUNCT,LOWER,CD
was,$,502.1,million,",",or,1.82,LOWER,PUNCT,MIXED,LOWER,PUNCT,LOWER,MIXED,CD
$,502.1,million,",",or,1.82,%,PUNCT,MIXED,LOWER,PUNCT,LOWER,MIXED,PUNCT,","
502.1,million,",",or,1.82,%,of,MIXED,LOWER,PUNCT,LOWER,MIXED,PUNCT,LOWER,CC
million,",",or,1.82,%,of,total,LOWER,PUNCT,LOWER,MIXED,PUNCT,LOWER,LOWER,CD
",",or,1.82,%,of,total,loans,PUNCT,LOWER,MIXED,PUNCT,LOWER,LOWER,LOWER,NN
or,1.82,%,of,total,loans,.,LOWER,MIXED,PUNCT,LOWER,LOWER,LOWER,PUNCT,IN
1.82,%,of,total,loans,.,<PAD>,MIXED,PUNCT,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJ
%,of,total,loans,.,<PAD>,<PAD>,PUNCT,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
of,total,loans,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,``,we,'re,meeting,<PAD>,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,``
<PAD>,<PAD>,``,we,'re,meeting,and,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,PRP
<PAD>,``,we,'re,meeting,and,surpassing,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,VBP
``,we,'re,meeting,and,surpassing,our,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
we,'re,meeting,and,surpassing,our,goals,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
're,meeting,and,surpassing,our,goals,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,VBG
meeting,and,surpassing,our,goals,",",'',LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,PRP$
and,surpassing,our,goals,",",'',he,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,NNS
surpassing,our,goals,",",'',he,added,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,","
our,goals,",",'',he,added,.,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,PUNCT,''
goals,",",'',he,added,.,<PAD>,LOWER,PUNCT,MIXED,LOWER,LOWER,PUNCT,<PAD>,PRP
",",'',he,added,.,<PAD>,<PAD>,PUNCT,MIXED,LOWER,LOWER,PUNCT,<PAD>,<PAD>,VBD
'',he,added,.,<PAD>,<PAD>,<PAD>,MIXED,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,looking,ahead,to,the,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,VBG
<PAD>,<PAD>,looking,ahead,to,the,fourth,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,RB
<PAD>,looking,ahead,to,the,fourth,quarter,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,TO
looking,ahead,to,the,fourth,quarter,",",TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DT
ahead,to,the,fourth,quarter,",",the,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,JJ
to,the,fourth,quarter,",",the,company,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
the,fourth,quarter,",",the,company,said,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
fourth,quarter,",",the,company,said,export,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,DT
quarter,",",the,company,said,export,log,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,NN
",",the,company,said,export,log,and,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
the,company,said,export,log,and,lumber,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
company,said,export,log,and,lumber,markets,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
said,export,log,and,lumber,markets,will,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
export,log,and,lumber,markets,will,be,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
log,and,lumber,markets,will,be,weak,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
and,lumber,markets,will,be,weak,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MD
lumber,markets,will,be,weak,",",while,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,VB
markets,will,be,weak,",",while,panel,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,JJ
will,be,weak,",",while,panel,and,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
be,weak,",",while,panel,and,plywood,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,IN
weak,",",while,panel,and,plywood,markets,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,NN
",",while,panel,and,plywood,markets,will,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
while,panel,and,plywood,markets,will,be,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
panel,and,plywood,markets,will,be,stronger,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
and,plywood,markets,will,be,stronger,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MD
plywood,markets,will,be,stronger,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,VB
markets,will,be,stronger,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,JJR
will,be,stronger,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,``,noriega,managed,the,<PAD>,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,``
<PAD>,<PAD>,``,noriega,managed,the,whole,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,NNP
<PAD>,``,noriega,managed,the,whole,thing,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,VBD
``,noriega,managed,the,whole,thing,.,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,PUNCT,DT
noriega,managed,the,whole,thing,.,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJ
managed,the,whole,thing,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
the,whole,thing,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,a,spokesman,attributed,the,<PAD>,<PAD>,<PAD>,UPPER,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,a,spokesman,attributed,the,bulk,<PAD>,<PAD>,UPPER,LOWER,LOWER,LOWER,LOWER,NN
<PAD>,a,spokesman,attributed,the,bulk,of,<PAD>,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
a,spokesman,attributed,the,bulk,of,a,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
spokesman,attributed,the,bulk,of,a,14,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,NN
attributed,the,bulk,of,a,14,%,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,PUNCT,IN
the,bulk,of,a,14,%,increase,LOWER,LOWER,LOWER,LOWER,DIGIT,PUNCT,LOWER,DT
bulk,of,a,14,%,increase,in,LOWER,LOWER,LOWER,DIGIT,PUNCT,LOWER,LOWER,CD
of,a,14,%,increase,in,selling,LOWER,LOWER,DIGIT,PUNCT,LOWER,LOWER,LOWER,NN
a,14,%,increase,in,selling,",",LOWER,DIGIT,PUNCT,LOWER,LOWER,LOWER,PUNCT,NN
14,%,increase,in,selling,",",administrative,DIGIT,PUNCT,LOWER,LOWER,LOWER,PUNCT,LOWER,IN
%,increase,in,selling,",",administrative,and,PUNCT,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,VBG
increase,in,selling,",",administrative,and,general,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
in,selling,",",administrative,and,general,expenses,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,JJ
selling,",",administrative,and,general,expenses,--,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,MIXED,CC
",",administrative,and,general,expenses,--,to,PUNCT,LOWER,LOWER,LOWER,LOWER,MIXED,LOWER,JJ
administrative,and,general,expenses,--,to,$,LOWER,LOWER,LOWER,LOWER,MIXED,LOWER,PUNCT,NNS
and,general,expenses,--,to,$,324.9,LOWER,LOWER,LOWER,MIXED,LOWER,PUNCT,MIXED,:
general,expenses,--,to,$,324.9,million,LOWER,LOWER,MIXED,LOWER,PUNCT,MIXED,LOWER,TO
expenses,--,to,$,324.9,million,--,LOWER,MIXED,LOWER,PUNCT,MIXED,LOWER,MIXED,$
--,to,$,324.9,million,--,to,MIXED,LOWER,PUNCT,MIXED,LOWER,MIXED,LOWER,CD
to,$,324.9,million,--,to,marketing,LOWER,PUNCT,MIXED,LOWER,MIXED,LOWER,LOWER,CD
$,324.9,million,--,to,marketing,costs,PUNCT,MIXED,LOWER,MIXED,LOWER,LOWER,LOWER,:
324.9,million,--,to,marketing,costs,.,MIXED,LOWER,MIXED,LOWER,LOWER,LOWER,PUNCT,TO
million,--,to,marketing,costs,.,<PAD>,LOWER,MIXED,LOWER,LOWER,LOWER,PUNCT,<PAD>,NN
--,to,marketing,costs,.,<PAD>,<PAD>,MIXED,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
to,marketing,costs,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,``,we,'ve,done,<PAD>,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,``
<PAD>,<PAD>,``,we,'ve,done,a,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,PRP
<PAD>,``,we,'ve,done,a,lot,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,VBP
``,we,'ve,done,a,lot,to,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
we,'ve,done,a,lot,to,improve,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
've,done,a,lot,to,improve,-lcb-,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,UPPER,NN
done,a,lot,to,improve,-lcb-,u.s.,LOWER,LOWER,LOWER,LOWER,LOWER,UPPER,UPPER,TO
a,lot,to,improve,-lcb-,u.s.,.,LOWER,LOWER,LOWER,LOWER,UPPER,UPPER,PUNCT,VB
lot,to,improve,-lcb-,u.s.,.,-rcb-,LOWER,LOWER,LOWER,UPPER,UPPER,PUNCT,UPPER,(
to,improve,-lcb-,u.s.,.,-rcb-,results,LOWER,LOWER,UPPER,UPPER,PUNCT,UPPER,LOWER,NNP
improve,-lcb-,u.s.,.,-rcb-,results,",",LOWER,UPPER,UPPER,PUNCT,UPPER,LOWER,PUNCT,.
-lcb-,u.s.,.,-rcb-,results,",",and,UPPER,UPPER,PUNCT,UPPER,LOWER,PUNCT,LOWER,)
u.s.,.,-rcb-,results,",",and,a,UPPER,PUNCT,UPPER,LOWER,PUNCT,LOWER,LOWER,NNS
.,-rcb-,results,",",and,a,lot,PUNCT,UPPER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
-rcb-,results,",",and,a,lot,more,UPPER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,CC
results,",",and,a,lot,more,will,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,DT
",",and,a,lot,more,will,be,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
and,a,lot,more,will,be,done,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJR
a,lot,more,will,be,done,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MD
lot,more,will,be,done,",",'',LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,VB
more,will,be,done,",",'',mr.,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,TITLE,VBN
will,be,done,",",'',mr.,mark,LOWER,LOWER,LOWER,PUNCT,MIXED,TITLE,TITLE,","
be,done,",",'',mr.,mark,said,LOWER,LOWER,PUNCT,MIXED,TITLE,TITLE,LOWER,''
done,",",'',mr.,mark,said,.,LOWER,PUNCT,MIXED,TITLE,TITLE,LOWER,PUNCT,NNP
